Gene_IDs;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7
Gene_1;0;0;0;0;0,02;0;0
Gene_2;0,06;0;0,02;0,08;0,01;0,72;1,09
Gene_3;0;0;0;0;0;0;0
Gene_4;0;0;0;0;0;0;0
Gene_5;0;0;0;0;0;0;0,05
Gene_6;0;0;0;0,04;0,03;0;0
Gene_7;0,05;0;0,1;0,1;0,08;0,23;1,84
Gene_8;0,06;0,01;0;0,09;0,03;0,1;0,05
Gene_9;0,01;0;0;0;0;0;0
Gene_10;0,02;0;0,02;0;0;0,02;0,06
Gene_11;0,03;0;0,01;0;0;0;0
Gene_12;0;0;0;0,06;0,02;0,07;0
Gene_13;0;0;0;0;0,04;0;0
Gene_14;0,02;0;0;0,28;0,05;0;0
Gene_15;0;0;0;0;0,04;0;0
Gene_16;0,01;0;0;0;0;0;0
Gene_17;0,03;0;0,01;0,19;0,03;0,01;0
Gene_18;0,01;0;0;0;0,09;0;0
Gene_19;0;0;0;0,21;0,26;0,46;0,04
Gene_20;0,01;0;0;0;0;0;0
Gene_21;0,07;0;0,01;0,26;0,51;0,02;0
Gene_22;0;0,01;0;0;0;0;0
Gene_23;0,15;0;0,1;0,25;0,85;0,06;0,07
Gene_24;2,61;0,67;0,85;0,18;0,03;0,07;0,19
Gene_25;4,6;0,49;0,42;0,19;3,39;1,44;0,58
Gene_26;0,09;0;0,02;0,07;0,01;0;0,02
Gene_27;1,81;0;0,37;0,21;0;0,25;0,15
Gene_28;1,67;0,04;0,52;3,31;1,39;2,58;2,74
Gene_29;0,03;0;0;0,16;0,23;0,05;0,03
Gene_30;0,06;0;0,28;2,04;5,57;0,48;0,93
Gene_31;0,73;0;0,19;3,42;4,66;1,6;2,36
Gene_32;1,48;0,01;3,09;8,21;7,71;0,82;3,36
Gene_33;2,19;0;3,47;9,2;5,89;3,12;1,11
Gene_34;2,52;0,99;3,47;1,27;0,89;7,28;6,11
Gene_35;6,86;1,16;4,62;2,62;3,37;2,5;1,69
Gene_36;5,44;0,28;2,72;3,58;0,04;0,19;0,09
