UMAP_1;UMAP_2;Ident
8,363473902;-5,53124061;Oocyst
8,224633227;-5,611923842;Oocyst
8,068442354;-5,725194125;Oocyst
6,950727949;-5,784043459;Oocyst
6,936188231;-6,210406451;Oocyst
7,107120524;-6,293416647;Oocyst
8,759060869;-6,454186587;Oocyst
7,333828936;-6,097526698;Oocyst
6,70584775;-6,172049193;Oocyst
8,485166559;-5,644881396;Oocyst
8,012195597;-5,509325652;Oocyst
6,609386454;-5,685583262;Oocyst
6,150361548;-5,890162138;Oocyst
7,500863562;-5,867143778;Oocyst
7,332736979;-5,833175806;Oocyst
6,251256952;-5,977613119;Oocyst
8,271718035;-5,860551981;Oocyst
3,847309599;-5,587228922;Oocyst
8,280804644;-5,824100642;Oocyst
7,89240695;-5,679564146;Oocyst
7,424255858;-5,894416479;Oocyst
7,169091711;-6,136693148;Oocyst
9,345469484;-6,370991854;Oocyst
7,747888575;-6,380331663;Oocyst
7,579248438;-6,377774863;Oocyst
9,111309061;-6,520509867;Oocyst
7,464343557;-6,255289225;Oocyst
9,44089509;-5,834334998;Oocyst
8,093244562;-5,670250563;Oocyst
8,698521624;-5,924766211;Oocyst
7,036211977;-5,919516711;Oocyst
7,676532755;-5,806144862;Oocyst
7,313491354;-5,656900076;Oocyst
6,268117914;-5,995065836;Oocyst
6,938989172;-5,94089189;Oocyst
6,98266984;-5,711472659;Oocyst
7,749230871;-5,648382334;Oocyst
7,311706553;-6,441351561;Oocyst
8,587387095;-5,817380576;Oocyst
8,590014467;-5,743891386;Oocyst
7,564587126;-5,913537173;Oocyst
5,781636725;-5,804505495;Oocyst
7,157603274;-6,364091544;Oocyst
9,523861895;-6,224488406;Oocyst
7,623222838;-6,394934325;Oocyst
7,098201285;-6,208171515;Oocyst
7,479539881;-6,368870406;Oocyst
7,569681177;-6,39168611;Oocyst
8,686553965;-6,213556914;Oocyst
8,196754465;-5,60461059;Oocyst
7,403379927;-5,801695494;Oocyst
6,400474558;-5,662277369;Oocyst
6,229022036;-5,816649107;Oocyst
7,087995539;-5,838347582;Oocyst
