PB_ID;Product_Description;Name;Ookinete;Oocyst;Sporozoite;Liver;Merozoite;Ring;Trophozoite;Schizont;Female;Male;Further_Information
PBANKA_0000101;PIR protein;N/A;0;0;0;0;0,06;0,04;0;0,02;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000101"">PBANKA_0000101</a>"
PBANKA_0000301;fam-b protein;N/A;0,05;0,06;0;0,02;0,09;0;0,08;0,01;0,72;1,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000301"">PBANKA_0000301</a>"
PBANKA_0000401;tryptophan-rich antigen, putative, pseudogene;N/A;0;0;0;0;0,05;0,13;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000401"">PBANKA_0000401</a>"
PBANKA_0000600;PIR protein;N/A;0;0;0;0;0;0,03;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000600"">PBANKA_0000600</a>"
PBANKA_0000701;PIR protein;N/A;0;0;0;0;0;0;0;0;0;0,05;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000701"">PBANKA_0000701</a>"
PBANKA_0000901;fam-a protein;N/A;0;0;0;0;0;0,01;0,04;0,03;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0000901"">PBANKA_0000901</a>"
PBANKA_0001001;PIR protein;N/A;0,04;0,05;0;0,1;0,04;0,16;0,1;0,08;0,23;1,84;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001001"">PBANKA_0001001</a>"
PBANKA_0001101;PIR protein;N/A;0,1;0,06;0,01;0;0,02;0,02;0,09;0,03;0,1;0,05;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001101"">PBANKA_0001101</a>"
PBANKA_0001200;fam-a protein, pseudogene;N/A;0,01;0,01;0;0;0;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001200"">PBANKA_0001200</a>"
PBANKA_0001201;PIR protein;N/A;0;0,02;0;0,02;0,09;0,11;0;0;0,02;0,06;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001201"">PBANKA_0001201</a>"
PBANKA_0001301;PIR protein;N/A;0;0,03;0;0,01;0;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001301"">PBANKA_0001301</a>"
PBANKA_0001401;PIR protein;N/A;0;0;0;0;0,02;0;0,06;0,02;0,07;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001401"">PBANKA_0001401</a>"
PBANKA_0001601;fam-a protein;N/A;0;0;0;0;0,04;0,01;0;0,04;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0001601"">PBANKA_0001601</a>"
PBANKA_0006300;PIR protein;N/A;0;0,02;0;0;0,05;0;0,28;0,05;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0006300"">PBANKA_0006300</a>"
PBANKA_0007501;fam-a protein;N/A;0;0;0;0;0,05;0,01;0;0,04;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0007501"">PBANKA_0007501</a>"
PBANKA_0007601;PIR protein;N/A;0;0,01;0;0;0;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0007601"">PBANKA_0007601</a>"
PBANKA_0007701;PIR protein, pseudogene;N/A;0;0,03;0;0,01;0,01;0,03;0,19;0,03;0,01;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0007701"">PBANKA_0007701</a>"
PBANKA_0007801;fam-b protein;N/A;0,01;0,01;0;0;0,03;0,01;0;0,09;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0007801"">PBANKA_0007801</a>"
PBANKA_0007901;PIR protein;N/A;0;0;0;0;0,15;0;0,21;0,26;0,46;0,04;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0007901"">PBANKA_0007901</a>"
PBANKA_0008001;PIR protein;N/A;0;0,01;0;0;0,01;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0008001"">PBANKA_0008001</a>"
PBANKA_0008101;fam-a protein;N/A;0,03;0,07;0;0,01;0,16;0,03;0,26;0,51;0,02;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0008101"">PBANKA_0008101</a>"
PBANKA_0009101;PIR protein, pseudogene;N/A;0,01;0;0,01;0;0;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0009101"">PBANKA_0009101</a>"
PBANKA_0100021;fam-b protein;N/A;0,03;0,15;0;0,1;0,14;0,3;0,25;0,85;0,06;0,07;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100021"">PBANKA_0100021</a>"
PBANKA_0100041;conserved rodent malaria protein, unknown function;N/A;0,48;2,61;0,67;0,85;0;0;0,18;0,03;0,07;0,19;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100041"">PBANKA_0100041</a>"
PBANKA_0100061;fam-c protein;N/A;1,91;4,6;0,49;0,42;0,49;0,1;0,19;3,39;1,44;0,58;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100061"">PBANKA_0100061</a>"
PBANKA_0100081;PIR protein, pseudogene;N/A;0,03;0,09;0;0,02;0;0,03;0,07;0,01;0;0,02;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100081"">PBANKA_0100081</a>"
PBANKA_0100100;fam-a protein;N/A;0,03;1,81;0;0,37;0,07;0,14;0,21;0;0,25;0,15;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100100"">PBANKA_0100100</a>"
PBANKA_0100200;Plasmodium exported protein, unknown function;N/A;0,56;1,67;0,04;0,52;0,21;0,55;3,31;1,39;2,58;2,74;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100200"">PBANKA_0100200</a>"
PBANKA_0100300;lysophospholipase, putative, pseudogene;N/A;0,02;0,03;0;0;0,12;0,07;0,16;0,23;0,05;0,03;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100300"">PBANKA_0100300</a>"
PBANKA_0100400;reticulocyte binding protein, putative;Pb235;0;0,06;0;0,28;0,15;0,03;2,04;5,57;0,48;0,93;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100400"">PBANKA_0100400</a>"
PBANKA_0100500;PIR protein;N/A;0,15;0,73;0;0,19;0,15;0,18;3,42;4,66;1,6;2,36;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100500"">PBANKA_0100500</a>"
PBANKA_0100600;schizont membrane associated cytoadherence protein;SMAC;0,02;1,48;0,01;3,09;0,33;1,31;8,21;7,71;0,82;3,36;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100600"">PBANKA_0100600</a>"
PBANKA_0100700;Plasmodium exported protein, unknown function;N/A;0,16;2,19;0;3,47;3;4,84;9,2;5,89;3,12;1,11;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100700"">PBANKA_0100700</a>"
PBANKA_0100800;zinc finger protein, putative;N/A;1,13;2,52;0,99;3,47;0,36;0,78;1,27;0,89;7,28;6,11;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100800"">PBANKA_0100800</a>"
PBANKA_0100900;ATP-dependent RNA helicase, putative;MTR4;3,56;6,86;1,16;4,62;1,36;1,17;2,62;3,37;2,5;1,69;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0100900"">PBANKA_0100900</a>"
PBANKA_0101000;MYND-type zinc finger protein, putative;N/A;1,3;5,44;0,28;2,72;0;1,31;3,58;0,04;0,19;0,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101000"">PBANKA_0101000</a>"
PBANKA_0101100;liver merozoite formation protein;PALM;0,26;1,21;0,18;1,74;0;0,08;1,18;0,02;1,58;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101100"">PBANKA_0101100</a>"
PBANKA_0101200;elongation factor G, putative;EF-G;3,76;6,1;0,84;3,98;0;1,29;4,68;0,48;0,74;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101200"">PBANKA_0101200</a>"
