Gene;State;Pct;Expression
PBANKA_0000101;ookinete;0;0
PBANKA_0000301;ookinete;0,03;1,66
PBANKA_0000401;ookinete;0;0
PBANKA_0000600;ookinete;0;0
PBANKA_0000701;ookinete;0;0
PBANKA_0000901;ookinete;0;0
PBANKA_0001001;ookinete;0,01;2,54
PBANKA_0001101;ookinete;0,04;2,72
PBANKA_0001200;ookinete;0,01;1,54
PBANKA_0001201;ookinete;0;0
PBANKA_0001301;ookinete;0;0
PBANKA_0001401;ookinete;0;0
PBANKA_0001601;ookinete;0;0
PBANKA_0006300;ookinete;0;0
PBANKA_0007501;ookinete;0;0
PBANKA_0007601;ookinete;0;0
PBANKA_0007701;ookinete;0;0
PBANKA_0007801;ookinete;0,01;0,81
PBANKA_0007901;ookinete;0;0
PBANKA_0008001;ookinete;0;0
PBANKA_0008101;ookinete;0,02;1,56
PBANKA_0009101;ookinete;0,01;1,3
PBANKA_0100021;ookinete;0,01;4,36
PBANKA_0100041;ookinete;0,2;2,43
PBANKA_0100061;ookinete;0,37;5,18
PBANKA_0100081;ookinete;0,02;1,49
PBANKA_0100100;ookinete;0,02;1,33
PBANKA_0100200;ookinete;0,15;3,78
PBANKA_0100300;ookinete;0,01;1,45
PBANKA_0100400;ookinete;0;0
PBANKA_0100500;ookinete;0,03;5,38
PBANKA_0100600;ookinete;0,01;1,16
PBANKA_0100700;ookinete;0,05;3,19
PBANKA_0100800;ookinete;0,21;5,3
PBANKA_0100900;ookinete;0,49;7,28
PBANKA_0101000;ookinete;0,24;5,4
PBANKA_0101100;ookinete;0,06;4,63
PBANKA_0101200;ookinete;0,57;6,55
PBANKA_0101300;ookinete;0,2;5,85
PBANKA_0101400;ookinete;0,47;5,61
PBANKA_0101500;ookinete;0,3;5,26
PBANKA_0101600;ookinete;0,12;2,69
PBANKA_0101700;ookinete;0,33;4,55
PBANKA_0101800;ookinete;0,75;5,83
PBANKA_0101900;ookinete;0,05;5,96
PBANKA_0102000;ookinete;0,15;5,37
PBANKA_0102100;ookinete;0,2;5,29
PBANKA_0102200;ookinete;0,51;4,78
PBANKA_0102300;ookinete;0,06;5,53
PBANKA_0102400;ookinete;0,12;4,67
PBANKA_0102500;ookinete;0,4;2,23
PBANKA_0102600;ookinete;0,96;8,95
PBANKA_0102700;ookinete;0,24;4,2
PBANKA_0102800;ookinete;0,56;4,28
PBANKA_0102900;ookinete;0,22;5,13
PBANKA_0103000;ookinete;0,96;5,67
PBANKA_0103100;ookinete;0,4;4,16
PBANKA_0103200;ookinete;0,64;4,75
PBANKA_0103300;ookinete;0,64;4,97
PBANKA_0103400;ookinete;0,23;6,58
PBANKA_0103500;ookinete;0,6;4,48
PBANKA_0103700;ookinete;0,2;4,19
PBANKA_0103800;ookinete;0,21;5,45
PBANKA_0103900;ookinete;0,56;6,1
PBANKA_0104000;ookinete;0,29;7,45
PBANKA_0104100;ookinete;0,24;7,53
PBANKA_0104200;ookinete;0,6;4,32
PBANKA_0104300;ookinete;0,18;4,86
PBANKA_0104400;ookinete;0,16;4,3
PBANKA_0104500;ookinete;0,85;7,27
PBANKA_0104600;ookinete;0,79;6,31
PBANKA_0104700;ookinete;0,14;5,8
PBANKA_0104800;ookinete;0,29;3,94
PBANKA_0104900;ookinete;0,43;5,61
PBANKA_0105000;ookinete;0,86;6,75
PBANKA_0105100;ookinete;0,17;4,98
PBANKA_0105200;ookinete;0,28;5,08
PBANKA_0105300;ookinete;0,99;7,73
PBANKA_0105400;ookinete;0,37;4,89
PBANKA_0105500;ookinete;0,94;5,68
PBANKA_0105600;ookinete;0,26;4,33
PBANKA_0105700;ookinete;0,65;6,27
PBANKA_0105800;ookinete;0,22;3,99
PBANKA_0105900;ookinete;0,16;4,22
PBANKA_0106000;ookinete;0,87;5,28
PBANKA_0106100;ookinete;0,28;3,38
PBANKA_0106200;ookinete;0,18;4,05
PBANKA_0106300;ookinete;0,33;5,56
PBANKA_0106400;ookinete;0,95;6,37
PBANKA_0106500;ookinete;0,99;6,51
PBANKA_0106600;ookinete;0,86;6,27
PBANKA_0106700;ookinete;0,96;5,5
PBANKA_0106800;ookinete;0,77;4,33
PBANKA_0106900;ookinete;0,57;4,32
PBANKA_0106950;ookinete;0,54;5,13
PBANKA_0107000;ookinete;0,7;7,51
PBANKA_0107100;ookinete;0,13;6,09
PBANKA_0107200;ookinete;0,69;5,71
PBANKA_0107300;ookinete;0,23;5,78
PBANKA_0107400;ookinete;0,14;6,71
PBANKA_0107500;ookinete;0,56;4,84
PBANKA_0107600;ookinete;0,56;5,03
PBANKA_0107700;ookinete;0,89;7,35
PBANKA_0107800;ookinete;0,65;3,99
PBANKA_0107900;ookinete;0,96;6,09
PBANKA_0108000;ookinete;0,3;4,17
PBANKA_0108100;ookinete;0,3;5,31
PBANKA_0108200;ookinete;0,16;4,21
PBANKA_0108300;ookinete;0,26;6,17
PBANKA_0108400;ookinete;0,51;5,03
PBANKA_0108500;ookinete;0,35;4,02
PBANKA_0108600;ookinete;0,71;4,94
PBANKA_0108700;ookinete;0,9;7,4
PBANKA_0108800;ookinete;0,63;5,34
PBANKA_0108900;ookinete;0,03;4,02
PBANKA_0109000;ookinete;0,87;4,86
PBANKA_0109100;ookinete;0,96;9,18
PBANKA_0109200;ookinete;0,62;5,39
PBANKA_0109300;ookinete;0,1;4,94
PBANKA_0109400;ookinete;0,08;6,26
PBANKA_0109500;ookinete;0,45;4,02
PBANKA_0109600;ookinete;0,37;6,93
PBANKA_0109700;ookinete;0,35;5,24
PBANKA_0109800;ookinete;0,21;2,95
PBANKA_0109900;ookinete;0,23;3,86
PBANKA_0110000;ookinete;0,89;6,54
PBANKA_0110100;ookinete;0,32;5,43
PBANKA_0110200;ookinete;0,18;4,95
PBANKA_0110300;ookinete;0,06;3,58
PBANKA_0110400;ookinete;0,45;4,48
PBANKA_0110500;ookinete;0,47;5,04
PBANKA_0110600;ookinete;0,08;2,37
PBANKA_0110700;ookinete;0,25;2,96
PBANKA_0110800;ookinete;0,63;4,84
PBANKA_0110900;ookinete;0,85;6,69
PBANKA_0111000;ookinete;0,7;5,73
PBANKA_0111100;ookinete;0,89;6,81
PBANKA_0111200;ookinete;0,77;6,08
PBANKA_0111300;ookinete;0,65;4,94
PBANKA_0111400;ookinete;0,88;6,3
PBANKA_0111500;ookinete;0,27;3,77
PBANKA_0111600;ookinete;0,76;5,11
PBANKA_0111700;ookinete;0,23;4,91
PBANKA_0111800;ookinete;0,58;5
PBANKA_0111900;ookinete;0,84;3,7
PBANKA_0112000;ookinete;0,91;6,35
PBANKA_0112100;ookinete;0,27;4,55
PBANKA_0112200;ookinete;0,35;5,57
PBANKA_0112300;ookinete;0,51;6,06
PBANKA_0112400;ookinete;0,87;6,45
PBANKA_0112500;ookinete;0,21;5,26
PBANKA_0112600;ookinete;0,02;5,2
PBANKA_0112621;ookinete;0,01;2,61
PBANKA_0112641;ookinete;0,04;4,76
PBANKA_0112661;ookinete;0,18;1,71
PBANKA_0112681;ookinete;0,01;0,78
PBANKA_0112701;ookinete;0,02;1,61
PBANKA_0112721;ookinete;0,13;1,16
PBANKA_0200400;ookinete;0,04;5,39
PBANKA_0200500;ookinete;0,02;6,13
PBANKA_0200600;ookinete;0,57;5,02
PBANKA_0200650;ookinete;0,01;4,06
PBANKA_0200700;ookinete;0,01;2,79
PBANKA_0200751;ookinete;0;0
PBANKA_0201000;ookinete;0,03;1,6
PBANKA_0201051;ookinete;0,41;4,62
PBANKA_0201100;ookinete;0;0
PBANKA_0201200;ookinete;0;0
PBANKA_0201250;ookinete;0,02;5,08
PBANKA_0201300;ookinete;0,01;5,7
PBANKA_0201340;ookinete;0,06;3,9
PBANKA_0201360;ookinete;0;0
PBANKA_0201400;ookinete;0;0
PBANKA_0201450;ookinete;0,01;4,03
PBANKA_0201500;ookinete;0,11;4,42
PBANKA_0201600;ookinete;0,57;6,26
PBANKA_0201700;ookinete;0,88;9,15
PBANKA_0201800;ookinete;0,38;3,99
PBANKA_0201900;ookinete;0,55;5,3
PBANKA_0202000;ookinete;0,77;5,28
PBANKA_0202100;ookinete;0,07;3,73
PBANKA_0202200;ookinete;0,19;3,62
PBANKA_0202300;ookinete;0,18;4,49
PBANKA_0202400;ookinete;0,44;5,22
PBANKA_0202500;ookinete;0,17;3,86
PBANKA_0202600;ookinete;0,44;4,06
PBANKA_0202700;ookinete;0,06;3,27
PBANKA_0202800;ookinete;0,37;3,56
PBANKA_0202900;ookinete;0,94;7,42
PBANKA_0203000;ookinete;0,16;4,18
PBANKA_0203100;ookinete;0,7;5,75
PBANKA_0203200;ookinete;0,41;4,15
PBANKA_0203300;ookinete;0,52;6,03
PBANKA_0203400;ookinete;0,85;5,32
PBANKA_0203500;ookinete;0,96;6,92
PBANKA_0203600;ookinete;0,46;5,3
PBANKA_0203650;ookinete;0,77;5,64
PBANKA_0203750;ookinete;0,82;5,5
PBANKA_0203800;ookinete;0,38;3,49
PBANKA_0203900;ookinete;0,36;3,79
PBANKA_0204000;ookinete;0,35;4,77
PBANKA_0204100;ookinete;1;9,09
PBANKA_0204200;ookinete;0,3;4,78
PBANKA_0204300;ookinete;0,12;4,31
PBANKA_0204400;ookinete;0,13;4,9
PBANKA_0204500;ookinete;0,32;4,4
